-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 04/05/1990 through 04/05/1991 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,WS10M,WS10M_MAX,WS10M_MIN
36.25,-6.75,1990,4,5,17.03,15.74,16.38,9.78,84.18,28.78,8.09,9.34,6.15
36.25,-6.25,1990,4,5,16.96,14.6,15.82,9.49,84.5,12.91,6.64,8.22,4.71
36.25,-5.75,1990,4,5,17.31,12.94,15.07,9.27,86.32,6.83,4.71,6.62,2.99
36.25,-5.25,1990,4,5,16.69,13.24,14.87,9.31,87.49,4.3,4.26,6.31,2.45
36.25,-4.75,1990,4,5,16.03,14.13,14.99,9.36,87.33,3.13,4.56,6.99,2.05
36.25,-4.25,1990,4,5,15.73,14.75,15.18,9.28,85.87,2.06,4.92,7.83,1.67
36.25,-3.75,1990,4,5,15.6,14.72,15.15,9.03,83.84,0.78,4.64,7.46,2.14
36.25,-3.25,1990,4,5,15.89,14.78,15.25,8.94,82.24,0.72,3.71,6.14,1.21
36.25,-2.75,1990,4,5,16.06,14.93,15.42,9.0,82.29,0.62,3.29,5.27,1.01
36.25,-2.25,1990,4,5,16.13,15.17,15.6,9.11,82.67,0.51,3.4,5.13,1.02
36.75,-6.75,1990,4,5,16.7,14.76,15.88,9.59,85.22,32.03,8.07,9.41,6.17
36.75,-6.25,1990,4,5,16.75,12.88,15.09,9.16,85.38,16.16,6.62,8.17,4.29
36.75,-5.75,1990,4,5,17.02,10.96,14.0,8.76,86.52,9.87,5.48,7.12,3.16
36.75,-5.25,1990,4,5,16.44,10.67,13.37,8.58,87.3,6.88,5.1,7.51,2.9
36.75,-4.75,1990,4,5,15.67,11.09,13.14,8.44,86.71,5.17,4.87,7.85,2.81
36.75,-4.25,1990,4,5,14.99,11.43,13.06,8.23,84.57,3.55,4.44,7.47,2.47
36.75,-3.75,1990,4,5,14.33,11.14,12.72,7.84,81.47,1.7,3.72,6.51,1.68
36.75,-3.25,1990,4,5,14.07,10.75,12.33,7.55,79.59,1.03,2.79,5.12,0.88
36.75,-2.75,1990,4,5,14.74,11.43,12.92,7.79,80.08,0.54,2.28,4.1,0.59
36.75,-2.25,1990,4,5,15.6,12.82,14.02,8.22,80.52,0.27,2.3,3.78,0.65
37.25,-6.75,1990,4,5,16.46,12.63,14.6,9.2,87.9,22.66,7.2,9.25,4.99
37.25,-6.25,1990,4,5,16.2,10.95,13.84,8.76,87.88,12.87,6.07,8.37,3.24
37.25,-5.75,1990,4,5,16.74,10.05,13.49,8.54,86.8,9.55,5.52,7.55,2.74
37.25,-5.25,1990,4,5,16.94,9.59,13.07,8.23,85.41,7.74,5.38,7.85,2.62
37.25,-4.75,1990,4,5,16.63,9.2,12.5,7.82,83.49,6.45,5.24,8.09,2.66
37.25,-4.25,1990,4,5,15.77,8.52,11.68,7.35,81.33,5.03,4.86,7.68,2.61
37.25,-3.75,1990,4,5,14.4,7.2,10.56,6.87,79.66,3.21,4.17,6.64,2.11
37.25,-3.25,1990,4,5,13.37,6.1,9.48,6.5,79.61,1.93,3.16,5.2,1.45
37.25,-2.75,1990,4,5,13.81,6.75,9.92,6.7,80.68,0.97,2.44,4.21,0.88
37.25,-2.25,1990,4,5,14.98,8.9,11.45,7.23,80.99,0.38,2.05,3.68,0.5
37.75,-6.75,1990,4,5,15.48,10.2,12.72,8.65,91.13,18.0,6.72,9.16,4.44
37.75,-6.25,1990,4,5,14.71,9.04,11.95,8.21,90.78,9.66,6.14,8.79,3.29
37.75,-5.75,1990,4,5,15.59,9.03,12.35,8.21,88.83,7.86,5.53,8.1,2.57
37.75,-5.25,1990,4,5,16.47,9.08,12.6,8.06,86.19,7.27,5.32,8.02,2.4
37.75,-4.75,1990,4,5,17.13,8.82,12.52,7.73,82.89,6.9,5.17,8.09,2.36
37.75,-4.25,1990,4,5,17.31,8.1,12.04,7.28,79.6,6.14,4.85,7.89,2.28
37.75,-3.75,1990,4,5,16.72,6.94,11.22,6.87,77.62,4.78,4.23,7.05,2.2
37.75,-3.25,1990,4,5,15.7,5.9,10.27,6.55,77.53,3.36,3.25,5.32,1.97
37.75,-2.75,1990,4,5,13.95,4.98,9.09,6.43,80.97,2.03,2.84,4.61,1.63
37.75,-2.25,1990,4,5,13.96,5.86,9.39,6.67,82.88,0.95,2.59,4.39,1.16
38.25,-6.75,1990,4,5,14.95,9.22,11.87,8.26,91.09,15.09,6.83,9.12,4.86
38.25,-6.25,1990,4,5,14.21,8.19,11.05,7.75,89.59,8.72,6.7,9.25,4.12
38.25,-5.75,1990,4,5,14.38,8.01,11.18,7.75,89.17,7.22,6.05,8.62,3.1
38.25,-5.25,1990,4,5,14.92,8.05,11.38,7.75,88.22,6.99,5.53,8.28,2.47
38.25,-4.75,1990,4,5,15.78,7.98,11.53,7.6,85.91,7.02,5.03,8.06,2.0
38.25,-4.25,1990,4,5,16.71,7.75,11.59,7.33,82.47,6.72,4.48,7.75,1.65
38.25,-3.75,1990,4,5,17.26,7.55,11.64,7.11,79.22,5.95,3.88,7.07,1.56
38.25,-3.25,1990,4,5,16.77,6.52,11.17,6.84,77.69,4.86,3.44,5.84,1.84
38.25,-2.75,1990,4,5,14.59,4.94,9.55,6.52,80.03,3.44,3.27,5.27,1.92
38.25,-2.25,1990,4,5,14.18,5.0,9.2,6.51,81.66,1.82,3.06,5.05,1.65
36.25,-6.75,1990,4,6,16.35,15.08,15.67,8.13,73.35,6.38,9.87,12.09,5.37
36.25,-6.25,1990,4,6,16.08,14.02,15.34,8.18,75.25,6.45,9.13,11.8,5.03
36.25,-5.75,1990,4,6,16.13,11.63,14.49,8.03,77.42,6.34,7.8,11.15,3.88
36.25,-5.25,1990,4,6,16.2,11.89,14.57,8.03,76.82,5.88,7.5,11.35,3.54
36.25,-4.75,1990,4,6,16.32,13.15,15.04,8.18,76.06,4.97,7.67,11.64,2.74
36.25,-4.25,1990,4,6,16.39,14.2,15.44,8.4,76.46,3.91,7.87,11.63,1.51
36.25,-3.75,1990,4,6,16.21,14.29,15.38,8.54,78.06,3.44,7.79,11.3,1.14
36.25,-3.25,1990,4,6,16.3,14.29,15.41,8.69,79.14,4.76,7.71,11.2,0.71
36.25,-2.75,1990,4,6,16.65,14.53,15.68,8.84,79.29,5.92,7.98,11.6,0.69
36.25,-2.25,1990,4,6,16.99,14.83,16.03,9.03,79.54,7.51,8.22,12.05,0.61
36.75,-6.75,1990,4,6,16.04,13.82,15.11,7.97,74.49,5.09,9.39,11.91,4.68
36.75,-6.25,1990,4,6,16.19,11.53,14.57,7.87,76.09,4.54,8.41,11.72,4.04
36.75,-5.75,1990,4,6,15.77,8.62,13.15,7.6,79.72,5.64,7.44,11.3,3.22
36.75,-5.25,1990,4,6,15.44,8.01,12.64,7.46,79.88,5.95,7.31,11.51,3.16
36.75,-4.75,1990,4,6,15.43,8.64,12.8,7.49,78.76,5.63,7.31,11.48,2.96
36.75,-4.25,1990,4,6,15.46,9.51,13.09,7.59,78.0,4.99,7.21,11.1,2.41
36.75,-3.75,1990,4,6,14.79,9.67,12.69,7.54,78.62,4.52,7.3,10.96,1.94
36.75,-3.25,1990,4,6,14.14,9.75,12.18,7.39,78.45,3.49,7.59,11.58,1.49
36.75,-2.75,1990,4,6,15.33,10.53,13.05,7.54,76.49,2.45,7.77,11.86,1.13
36.75,-2.25,1990,4,6,16.93,12.18,14.55,7.99,75.47,2.34,7.92,12.24,0.9
37.25,-6.75,1990,4,6,15.66,10.01,13.58,7.62,78.21,4.11,7.7,10.79,3.36
37.25,-6.25,1990,4,6,16.31,8.71,13.46,7.57,78.53,3.55,7.37,11.07,3.1
37.25,-5.75,1990,4,6,15.97,7.66,12.86,7.5,80.46,4.66,7.17,11.01,2.85
37.25,-5.25,1990,4,6,15.52,6.8,12.26,7.31,80.64,5.44,7.05,11.09,2.71
37.25,-4.75,1990,4,6,15.16,6.25,11.77,7.13,80.06,5.78,6.94,10.94,2.75
37.25,-4.25,1990,4,6,14.64,5.84,11.18,6.94,79.58,5.58,6.92,10.7,2.92
