-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 04/05/2019 through 04/01/2020 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,WS10M,WS10M_MAX,WS10M_MIN
36.25,-6.75,2019,4,5,14.85,13.65,14.27,7.59,75.27,15.92,10.62,11.79,8.28
36.25,-6.25,2019,4,5,14.61,13.23,13.92,7.42,74.97,16.44,9.92,11.27,7.46
36.25,-5.75,2019,4,5,14.28,11.56,12.82,7.1,76.57,18.3,8.39,10.03,5.98
36.25,-5.25,2019,4,5,14.21,11.39,12.72,7.11,76.99,18.27,8.36,10.09,6.0
36.25,-4.75,2019,4,5,14.49,12.05,13.25,7.27,75.96,16.36,9.07,10.81,6.81
36.25,-4.25,2019,4,5,14.93,12.83,13.93,7.42,74.17,13.36,9.9,11.69,7.78
36.25,-3.75,2019,4,5,15.12,13.01,14.11,7.42,73.22,10.76,10.43,12.41,8.39
36.25,-3.25,2019,4,5,15.43,13.23,14.28,7.39,72.12,7.63,10.63,12.81,8.46
36.25,-2.75,2019,4,5,15.76,13.69,14.64,7.48,71.39,7.27,10.94,13.13,8.8
36.25,-2.25,2019,4,5,15.95,14.23,15.04,7.66,71.54,6.21,11.18,13.3,8.69
36.75,-6.75,2019,4,5,14.69,12.59,13.61,7.28,75.34,16.32,9.47,10.92,7.35
36.75,-6.25,2019,4,5,14.87,11.35,13.06,6.87,73.69,15.28,8.28,9.94,5.79
36.75,-5.75,2019,4,5,14.06,9.18,11.49,6.48,76.26,15.16,7.09,9.19,4.52
36.75,-5.25,2019,4,5,13.52,8.65,10.76,6.32,77.09,14.87,7.06,9.45,4.33
36.75,-4.75,2019,4,5,13.54,8.78,10.79,6.35,76.51,13.85,7.26,9.87,4.52
36.75,-4.25,2019,4,5,13.83,8.91,11.09,6.41,75.26,12.1,7.45,10.2,4.82
36.75,-3.75,2019,4,5,13.51,8.69,10.78,6.32,74.56,10.18,7.96,10.85,5.45
36.75,-3.25,2019,4,5,13.23,8.29,10.33,6.15,73.66,7.07,8.5,11.72,5.81
36.75,-2.75,2019,4,5,14.33,9.1,11.35,6.25,70.68,5.85,8.8,12.11,6.33
36.75,-2.25,2019,4,5,15.67,10.96,13.11,6.68,68.72,4.21,9.08,12.39,6.35
37.25,-6.75,2019,4,5,14.6,9.69,12.01,6.57,75.5,15.85,7.31,9.34,5.13
37.25,-6.25,2019,4,5,14.8,8.76,11.74,6.26,73.38,13.65,6.61,8.82,4.08
37.25,-5.75,2019,4,5,14.31,7.85,11.03,6.06,74.2,12.3,6.11,8.46,3.55
37.25,-5.25,2019,4,5,13.72,7.43,10.22,5.85,74.74,11.54,5.97,8.66,3.17
37.25,-4.75,2019,4,5,13.15,6.77,9.42,5.69,75.34,10.9,5.9,8.96,2.86
37.25,-4.25,2019,4,5,12.42,5.61,8.5,5.54,76.1,10.08,5.9,9.28,2.76
37.25,-3.75,2019,4,5,11.04,4.17,7.08,5.25,76.88,8.92,6.33,9.91,3.24
37.25,-3.25,2019,4,5,10.71,2.93,6.11,4.91,75.42,6.29,6.66,10.74,3.18
37.25,-2.75,2019,4,5,12.32,3.22,7.23,4.95,71.41,4.8,6.64,11.02,2.99
37.25,-2.25,2019,4,5,14.8,5.56,9.86,5.44,67.41,3.19,6.61,11.08,2.99
37.75,-6.75,2019,4,5,13.15,6.84,9.68,5.9,78.42,15.49,5.99,8.38,3.7
37.75,-6.25,2019,4,5,12.77,6.37,9.48,5.71,76.47,11.79,5.99,8.27,3.65
37.75,-5.75,2019,4,5,13.22,6.53,9.81,5.66,74.34,10.12,5.63,8.16,3.27
37.75,-5.25,2019,4,5,13.38,6.77,9.74,5.57,73.38,9.44,5.51,8.29,3.0
37.75,-4.75,2019,4,5,13.07,6.47,9.23,5.45,73.36,9.34,5.57,8.61,2.87
37.75,-4.25,2019,4,5,12.26,5.44,8.29,5.27,73.89,9.36,5.77,9.1,2.92
37.75,-3.75,2019,4,5,11.12,3.97,6.97,4.97,74.47,9.01,6.07,9.84,3.2
