-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 04/05/2005 through 04/05/2006 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,WS10M,WS10M_MAX,WS10M_MIN
36.25,-6.75,2005,4,5,17.54,15.19,16.27,9.25,82.01,0.0,9.23,12.77,5.48
36.25,-6.25,2005,4,5,18.28,13.96,15.93,8.91,81.03,0.0,9.27,12.09,5.7
36.25,-5.75,2005,4,5,18.18,12.38,15.01,8.64,82.48,0.02,8.17,10.51,4.82
36.25,-5.25,2005,4,5,16.88,12.61,14.6,8.76,85.47,0.04,7.52,9.75,4.55
36.25,-4.75,2005,4,5,15.93,13.54,14.7,8.97,87.03,0.05,7.37,9.61,4.58
36.25,-4.25,2005,4,5,15.78,14.36,15.06,9.08,86.32,0.05,7.46,9.75,4.64
36.25,-3.75,2005,4,5,15.73,14.59,15.18,9.0,84.62,0.05,7.26,9.76,4.46
36.25,-3.25,2005,4,5,15.85,14.68,15.27,8.86,83.0,0.04,7.23,10.04,4.43
36.25,-2.75,2005,4,5,15.89,14.62,15.23,8.89,83.72,0.02,7.16,9.76,4.7
36.25,-2.25,2005,4,5,15.82,14.69,15.23,8.99,84.87,0.01,6.94,9.26,4.8
36.75,-6.75,2005,4,5,19.38,13.92,16.52,8.84,77.59,0.0,6.28,9.69,2.47
36.75,-6.25,2005,4,5,21.55,11.6,16.23,8.21,74.81,0.0,6.04,8.35,2.5
