-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 04/05/2017 through 04/05/2018 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,WS10M,WS10M_MAX,WS10M_MIN
36.25,-6.75,2017,4,5,18.47,15.35,16.82,8.81,75.38,0.0,4.72,6.95,2.06
36.25,-6.25,2017,4,5,20.99,13.73,17.03,8.42,72.16,0.0,4.47,7.06,1.55
36.25,-5.75,2017,4,5,21.76,11.77,16.24,7.98,72.81,0.0,4.25,6.16,2.24
36.25,-5.25,2017,4,5,20.22,12.31,15.79,8.13,75.07,0.0,3.88,6.04,2.02
36.25,-4.75,2017,4,5,18.33,13.74,15.74,8.57,78.02,0.0,3.66,6.32,1.74
36.25,-4.25,2017,4,5,17.17,14.95,15.93,9.01,80.58,0.0,3.62,6.51,1.72
36.25,-3.75,2017,4,5,16.97,15.3,16.02,9.19,81.5,0.0,3.54,6.13,1.81
36.25,-3.25,2017,4,5,17.04,15.34,16.13,9.14,80.15,0.0,3.93,6.3,2.39
36.25,-2.75,2017,4,5,16.96,15.57,16.21,9.09,79.55,0.0,4.72,7.06,2.98
36.25,-2.25,2017,4,5,16.83,15.83,16.3,9.25,80.89,0.0,5.49,8.1,3.61
36.75,-6.75,2017,4,5,20.04,13.73,16.81,8.28,71.47,0.0,3.4,6.56,1.57
36.75,-6.25,2017,4,5,24.2,11.32,17.23,7.48,65.12,0.0,3.11,5.24,1.28
36.75,-5.75,2017,4,5,24.77,8.98,16.24,6.74,63.3,0.0,3.24,4.89,1.82
36.75,-5.25,2017,4,5,23.28,8.94,15.38,6.63,64.64,0.0,3.04,4.76,1.82
36.75,-4.75,2017,4,5,21.52,10.22,15.12,6.89,66.58,0.0,2.7,4.65,1.54
36.75,-4.25,2017,4,5,20.3,11.76,15.33,7.2,67.26,0.0,2.37,4.44,1.18
36.75,-3.75,2017,4,5,19.44,12.37,15.35,7.2,65.53,0.0,2.2,4.13,0.91
36.75,-3.25,2017,4,5,18.64,11.56,14.68,7.08,65.56,0.0,2.29,3.89,1.15
36.75,-2.75,2017,4,5,18.68,11.95,14.88,7.18,66.41,0.0,3.11,4.9,1.85
36.75,-2.25,2017,4,5,18.56,13.01,15.43,7.69,70.06,0.0,4.25,6.65,2.87
37.25,-6.75,2017,4,5,23.25,10.76,16.56,7.39,65.48,0.0,3.08,5.98,1.44
37.25,-6.25,2017,4,5,25.48,9.3,16.68,6.68,60.41,0.0,3.15,4.79,1.97
37.25,-5.75,2017,4,5,25.39,8.32,16.09,6.15,58.18,0.0,3.15,5.09,1.58
37.25,-5.25,2017,4,5,24.65,7.83,15.35,5.87,58.3,0.0,3.03,5.25,1.61
37.25,-4.75,2017,4,5,23.7,8.12,14.83,5.72,58.14,0.0,2.83,5.3,1.42
37.25,-4.25,2017,4,5,22.57,8.69,14.43,5.56,56.37,0.0,2.56,5.22,0.92
37.25,-3.75,2017,4,5,20.91,8.2,13.64,5.22,52.97,0.0,2.27,4.97,0.63
37.25,-3.25,2017,4,5,19.61,7.31,12.63,5.05,53.29,0.0,2.27,4.88,0.77
37.25,-2.75,2017,4,5,20.17,7.75,12.91,5.3,55.78,0.0,2.09,4.49,0.94
37.25,-2.25,2017,4,5,20.55,9.05,13.79,5.93,60.02,0.0,2.65,5.41,1.49
37.75,-6.75,2017,4,5,24.56,8.3,15.54,6.41,60.72,0.0,3.7,5.77,2.26
37.75,-6.25,2017,4,5,24.39,7.82,15.17,5.95,57.97,0.0,3.9,5.91,2.77
37.75,-5.75,2017,4,5,24.46,7.54,15.08,5.71,56.72,0.0,3.78,6.28,2.1
37.75,-5.25,2017,4,5,24.28,7.36,14.88,5.5,55.96,0.0,3.67,6.48,1.81
37.75,-4.75,2017,4,5,23.69,7.39,14.5,5.3,55.08,0.0,3.56,6.64,1.45
37.75,-4.25,2017,4,5,22.61,7.4,13.88,5.08,53.71,0.0,3.4,6.68,0.96
37.75,-3.75,2017,4,5,21.0,6.78,12.94,4.79,51.69,0.0,3.01,6.42,0.61
37.75,-3.25,2017,4,5,20.25,6.38,12.46,4.64,51.24,0.0,3.22,6.7,1.09
37.75,-2.75,2017,4,5,19.86,5.73,11.62,4.64,53.82,0.0,2.55,5.51,0.8
37.75,-2.25,2017,4,5,20.08,6.11,11.82,4.96,56.5,0.0,2.21,4.97,0.75
38.25,-6.75,2017,4,5,22.88,7.62,14.34,6.13,62.16,0.0,4.12,6.54,2.82
38.25,-6.25,2017,4,5,22.08,7.03,13.65,5.77,60.44,0.0,4.23,6.69,2.89
38.25,-5.75,2017,4,5,22.17,6.34,13.5,5.43,58.24,0.0,4.31,6.92,2.73
38.25,-5.25,2017,4,5,22.2,6.02,13.45,5.14,55.96,0.0,4.36,7.08,2.39
38.25,-4.75,2017,4,5,21.91,5.94,13.26,4.93,54.51,0.0,4.46,7.21,2.15
38.25,-4.25,2017,4,5,21.22,6.0,12.88,4.81,53.96,0.0,4.48,7.25,1.99
38.25,-3.75,2017,4,5,20.23,6.19,12.48,4.76,53.53,0.0,4.1,7.01,1.62
38.25,-3.25,2017,4,5,19.8,5.7,12.31,4.66,52.68,0.0,3.85,6.67,1.5
38.25,-2.75,2017,4,5,18.61,4.69,10.93,4.49,54.21,0.0,3.37,6.15,1.16
38.25,-2.25,2017,4,5,18.51,4.55,10.72,4.6,55.66,0.0,2.81,5.45,0.83
36.25,-6.75,2017,4,6,18.15,15.43,16.61,9.13,78.65,0.0,9.98,11.56,8.12
36.25,-6.25,2017,4,6,18.77,14.3,16.26,8.79,78.0,0.0,9.61,11.05,7.85
36.25,-5.75,2017,4,6,18.79,13.02,15.55,8.57,78.88,0.0,8.46,10.29,6.22
36.25,-5.25,2017,4,6,17.72,13.42,15.29,8.79,81.61,0.0,7.85,9.51,5.88
36.25,-4.75,2017,4,6,16.88,14.34,15.44,9.06,83.18,0.0,7.66,9.0,6.03
36.25,-4.25,2017,4,6,16.72,15.0,15.78,9.13,82.38,0.0,7.65,8.8,6.08
36.25,-3.75,2017,4,6,16.77,15.01,15.89,8.91,79.75,0.0,7.4,8.68,5.62
36.25,-3.25,2017,4,6,16.84,15.0,15.89,8.72,77.7,0.0,7.35,8.61,5.73
36.25,-2.75,2017,4,6,16.7,15.05,15.84,8.69,77.9,0.01,7.3,8.61,5.82
36.25,-2.25,2017,4,6,16.55,15.24,15.89,8.73,78.51,0.05,7.2,8.55,5.65
36.75,-6.75,2017,4,6,19.77,13.32,16.37,8.6,75.58,0.0,7.26,8.86,5.65
36.75,-6.25,2017,4,6,21.58,11.31,16.06,7.97,73.16,0.0,6.55,7.81,4.98
36.75,-5.75,2017,4,6,21.25,10.0,15.11,7.65,73.83,0.0,6.2,7.76,4.17
36.75,-5.25,2017,4,6,19.85,10.05,14.41,7.75,76.96,0.0,5.75,7.35,3.84
36.75,-4.75,2017,4,6,18.82,10.66,14.24,7.91,78.55,0.0,5.23,6.6,3.57
36.75,-4.25,2017,4,6,18.5,11.12,14.44,7.83,76.38,0.0,4.73,5.84,3.21
36.75,-3.75,2017,4,6,18.2,10.82,14.42,7.29,70.0,0.0,4.45,5.64,2.88
36.75,-3.25,2017,4,6,17.17,10.38,13.47,7.0,70.22,0.0,5.16,6.67,3.43
36.75,-2.75,2017,4,6,16.8,10.56,13.45,7.17,72.78,0.0,5.56,7.4,3.49
36.75,-2.25,2017,4,6,16.82,11.87,14.23,7.56,74.38,0.03,5.72,7.76,3.26
37.25,-6.75,2017,4,6,21.7,9.91,15.56,7.39,68.38,0.0,5.08,6.7,3.12
37.25,-6.25,2017,4,6,23.39,8.71,15.56,6.9,65.75,0.0,4.56,6.22,2.84
37.25,-5.75,2017,4,6,23.33,8.19,15.23,6.8,66.65,0.0,4.3,5.74,2.63
37.25,-5.25,2017,4,6,22.7,7.77,14.71,6.74,68.13,0.0,3.87,5.14,2.28
37.25,-4.75,2017,4,6,22.0,7.35,14.2,6.57,67.94,0.0,3.32,4.51,1.77
37.25,-4.25,2017,4,6,21.21,6.71,13.65,6.19,65.12,0.0,2.82,4.02,1.32
37.25,-3.75,2017,4,6,19.85,5.46,12.74,5.55,60.0,0.0,2.7,3.82,1.44
37.25,-3.25,2017,4,6,17.91,5.29,11.07,5.43,64.08,0.0,3.31,4.88,1.72
37.25,-2.75,2017,4,6,17.11,5.28,10.69,5.66,68.62,0.0,3.77,5.8,1.55
37.25,-2.25,2017,4,6,17.12,6.85,11.64,6.15,70.83,0.03,4.12,6.39,1.35
37.75,-6.75,2017,4,6,22.29,7.32,14.4,6.23,61.92,0.0,4.59,6.42,2.45
37.75,-6.25,2017,4,6,22.52,7.06,14.33,6.01,60.38,0.0,4.51,6.75,2.31
37.75,-5.75,2017,4,6,23.09,7.0,14.62,6.01,60.48,0.0,4.1,6.22,2.06
37.75,-5.25,2017,4,6,23.39,6.71,14.71,5.94,60.14,0.0,3.72,5.61,1.75
37.75,-4.75,2017,4,6,23.27,6.2,14.53,5.74,58.83,0.0,3.39,5.15,1.23
37.75,-4.25,2017,4,6,22.59,5.36,13.98,5.44,57.11,0.0,3.14,4.8,0.82
37.75,-3.75,2017,4,6,21.19,4.03,12.89,5.13,56.66,0.0,3.06,4.32,1.33
37.75,-3.25,2017,4,6,19.86,4.27,11.74,5.1,59.76,0.0,2.98,4.41,1.61
37.75,-2.75,2017,4,6,17.63,3.22,9.88,5.06,65.31,0.0,3.37,5.34,1.51
37.75,-2.25,2017,4,6,16.68,3.51,9.6,5.28,68.8,0.01,3.72,5.88,1.48
38.25,-6.75,2017,4,6,21.74,6.54,13.73,6.0,61.9,0.0,4.75,6.76,2.57
38.25,-6.25,2017,4,6,21.3,6.03,13.41,5.83,61.0,0.0,4.65,6.94,2.35
38.25,-5.75,2017,4,6,21.83,5.86,13.65,5.68,59.52,0.0,4.38,6.78,2.08
38.25,-5.25,2017,4,6,22.28,5.73,13.88,5.54,57.81,0.0,4.23,6.62,1.77
38.25,-4.75,2017,4,6,22.4,5.47,13.89,5.39,56.54,0.0,4.16,6.4,1.42
38.25,-4.25,2017,4,6,22.1,5.01,13.57,5.26,56.31,0.0,4.05,5.95,1.25
38.25,-3.75,2017,4,6,21.44,4.3,12.96,5.19,57.56,0.0,3.72,5.07,1.7
38.25,-3.25,2017,4,6,20.59,4.12,12.35,5.09,58.01,0.0,3.5,5.07,1.85
38.25,-2.75,2017,4,6,18.28,2.48,10.29,4.88,61.76,0.0,3.58,5.59,1.7
38.25,-2.25,2017,4,6,17.32,2.21,9.6,4.94,64.96,0.0,3.58,5.54,1.73
36.25,-6.75,2017,4,7,17.64,15.19,16.41,8.52,74.51,0.0,11.62,12.5,10.94
36.25,-6.25,2017,4,7,18.19,14.08,16.03,8.06,72.53,0.0,11.16,12.8,9.91
36.25,-5.75,2017,4,7,17.94,13.02,15.25,7.74,72.56,0.0,10.04,11.94,8.73
36.25,-5.25,2017,4,7,16.85,13.24,14.92,7.99,75.86,0.0,9.32,11.01,8.01
36.25,-4.75,2017,4,7,16.21,13.92,15.03,8.32,78.31,0.0,8.99,10.41,7.82
36.25,-4.25,2017,4,7,16.29,14.48,15.37,8.45,78.26,0.0,8.81,10.07,7.83
36.25,-3.75,2017,4,7,16.4,14.58,15.5,8.33,76.53,0.0,8.27,9.5,7.34
36.25,-3.25,2017,4,7,16.49,14.67,15.59,8.18,74.73,0.0,7.75,9.05,6.66
