-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 04/05/1998 through 04/05/1999 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,WS10M,WS10M_MAX,WS10M_MIN
36.25,-6.75,1998,4,5,17.69,16.52,17.09,9.01,75.21,0.34,6.67,7.6,4.94
36.25,-6.25,1998,4,5,17.9,15.67,16.73,8.94,76.06,0.49,6.21,7.45,4.38
36.25,-5.75,1998,4,5,18.12,13.61,15.43,8.58,79.14,0.33,5.22,7.09,3.39
36.25,-5.25,1998,4,5,17.85,13.28,15.13,8.56,80.24,0.24,5.28,6.86,3.46
36.25,-4.75,1998,4,5,17.56,13.83,15.41,8.69,80.03,0.19,5.75,6.97,4.06
36.25,-4.25,1998,4,5,17.39,14.48,15.81,8.82,79.3,0.16,6.35,7.46,4.83
36.25,-3.75,1998,4,5,17.1,14.62,15.79,8.82,79.0,0.09,7.14,8.26,5.57
36.25,-3.25,1998,4,5,17.21,14.84,15.93,8.7,77.25,0.05,7.63,8.81,5.78
36.25,-2.75,1998,4,5,17.39,15.31,16.26,8.74,76.16,0.03,8.06,9.14,6.0
36.25,-2.25,1998,4,5,17.38,15.85,16.57,8.95,76.71,0.03,8.44,9.53,6.22
36.75,-6.75,1998,4,5,17.75,15.33,16.42,8.67,75.49,1.09,6.35,7.56,4.71
36.75,-6.25,1998,4,5,17.81,13.73,15.55,8.45,77.69,1.21,5.35,7.4,3.63
36.75,-5.75,1998,4,5,17.46,11.03,13.61,8.11,83.49,0.82,4.43,7.12,2.6
