-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 04/05/1997 through 04/05/1998 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,WS10M,WS10M_MAX,WS10M_MIN
36.25,-6.75,1997,4,5,18.8,16.6,17.57,9.38,75.67,0.03,9.46,13.18,5.52
36.25,-6.25,1997,4,5,19.6,15.68,17.41,8.67,70.59,0.03,10.01,13.61,6.97
36.25,-5.75,1997,4,5,19.79,14.33,16.81,8.11,68.44,0.06,8.91,12.8,6.19
36.25,-5.25,1997,4,5,18.95,14.6,16.59,8.28,70.76,0.08,8.13,11.67,5.35
36.25,-4.75,1997,4,5,18.15,15.5,16.75,8.69,73.53,0.08,7.99,11.14,4.84
36.25,-4.25,1997,4,5,17.91,16.25,17.11,8.95,74.19,0.07,8.45,11.55,4.79
36.25,-3.75,1997,4,5,18.2,16.38,17.32,8.73,71.59,0.03,9.14,12.63,5.03
36.25,-3.25,1997,4,5,18.21,15.83,17.11,8.68,72.14,0.01,10.28,13.77,6.34
36.25,-2.75,1997,4,5,17.73,15.76,16.8,9.01,76.31,0.0,10.79,13.48,7.2
36.25,-2.25,1997,4,5,17.3,16.0,16.66,9.52,81.34,0.0,10.74,12.92,7.32
36.75,-6.75,1997,4,5,21.07,14.87,17.8,8.49,68.11,0.02,8.46,11.6,5.49
36.75,-6.25,1997,4,5,22.8,13.4,17.61,7.42,60.78,0.04,7.82,11.57,4.86
36.75,-5.75,1997,4,5,22.55,11.85,16.63,6.83,58.98,0.08,7.05,11.09,4.44
