-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 04/05/2000 through 04/05/2001 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,WS10M,WS10M_MAX,WS10M_MIN
36.25,-6.75,2000,4,5,15.42,13.35,14.36,6.55,65.36,0.15,3.87,8.91,1.14
36.25,-6.25,2000,4,5,15.58,11.92,13.78,6.38,66.19,0.08,4.09,8.49,1.57
36.25,-5.75,2000,4,5,16.14,9.28,12.64,6.06,67.81,0.1,4.16,7.08,1.98
36.25,-5.25,2000,4,5,16.24,9.31,12.63,6.05,67.41,0.14,5.03,7.4,2.82
36.25,-4.75,2000,4,5,16.15,10.44,13.17,6.23,66.59,0.19,6.04,8.64,3.64
36.25,-4.25,2000,4,5,15.96,11.52,13.72,6.43,66.26,0.28,6.92,10.07,4.1
36.25,-3.75,2000,4,5,15.65,11.76,13.75,6.5,66.69,0.44,7.68,10.92,3.99
36.25,-3.25,2000,4,5,15.68,12.1,13.92,6.5,65.74,0.63,8.24,11.22,3.74
36.25,-2.75,2000,4,5,15.84,12.76,14.29,6.56,64.96,0.89,8.71,11.48,3.77
36.25,-2.25,2000,4,5,15.83,13.48,14.64,6.73,65.48,1.22,9.21,11.84,4.24
36.75,-6.75,2000,4,5,15.5,11.16,13.46,6.28,66.73,0.08,3.77,7.58,1.02
36.75,-6.25,2000,4,5,16.3,8.58,12.6,5.89,66.66,0.08,3.66,6.52,0.94
36.75,-5.75,2000,4,5,16.3,5.41,10.94,5.45,69.03,0.04,3.67,5.89,1.19
36.75,-5.25,2000,4,5,16.06,4.79,10.33,5.27,68.88,0.02,4.34,6.25,1.9
36.75,-4.75,2000,4,5,15.74,5.55,10.44,5.29,67.81,0.04,5.06,6.96,2.66
36.75,-4.25,2000,4,5,15.24,6.54,10.69,5.38,66.82,0.07,5.66,7.71,3.16
36.75,-3.75,2000,4,5,14.23,6.64,10.28,5.31,66.25,0.11,6.41,8.55,3.12
