-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 04/05/2020 through 04/05/2021 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,WS10M,WS10M_MAX,WS10M_MIN
36.25,-6.75,2020,4,5,17.7,16.31,17.04,11.0,91.81,1.78,4.52,6.66,3.2
36.25,-6.25,2020,4,5,18.69,15.13,16.74,10.19,86.91,0.26,4.71,7.15,2.65
36.25,-5.75,2020,4,5,19.4,13.84,16.13,9.51,84.06,0.08,4.8,6.55,2.9
36.25,-5.25,2020,4,5,17.95,13.85,15.49,9.25,84.79,0.06,5.23,6.83,3.2
36.25,-4.75,2020,4,5,16.55,14.32,15.23,9.19,85.48,0.06,5.76,7.46,3.4
36.25,-4.25,2020,4,5,16.11,14.7,15.35,9.15,84.57,0.03,6.07,7.89,3.42
36.25,-3.75,2020,4,5,16.19,14.67,15.42,9.0,82.59,0.02,5.72,7.52,3.3
36.25,-3.25,2020,4,5,16.29,14.76,15.5,8.83,80.82,0.08,5.67,7.54,3.28
36.25,-2.75,2020,4,5,16.26,14.9,15.53,8.81,80.71,0.17,6.03,7.88,3.22
36.25,-2.25,2020,4,5,16.18,15.21,15.65,8.92,81.38,0.26,6.39,7.95,3.26
36.75,-6.75,2020,4,5,18.24,14.91,16.59,10.47,90.11,3.83,5.65,7.54,4.01
36.75,-6.25,2020,4,5,20.46,13.29,16.57,9.49,82.41,0.56,5.64,7.36,3.68
36.75,-5.75,2020,4,5,21.1,11.99,15.85,8.78,79.13,0.17,5.38,6.86,3.35
36.75,-5.25,2020,4,5,19.74,11.37,14.78,8.39,80.06,0.05,5.01,6.62,2.9
36.75,-4.75,2020,4,5,18.26,11.22,14.1,8.2,81.21,0.02,4.61,6.28,2.45
36.75,-4.25,2020,4,5,17.55,11.17,13.95,8.1,80.51,0.01,4.2,5.76,2.12
36.75,-3.75,2020,4,5,17.42,10.74,13.88,7.9,77.78,0.0,3.68,5.21,1.93
36.75,-3.25,2020,4,5,16.85,10.49,13.47,7.64,76.43,0.0,3.5,5.28,1.71
36.75,-2.75,2020,4,5,17.27,10.93,13.69,7.62,76.19,0.0,3.97,5.82,1.45
36.75,-2.25,2020,4,5,17.38,12.1,14.35,7.9,77.1,0.0,4.79,6.37,1.81
37.25,-6.75,2020,4,5,19.39,12.33,15.83,9.72,87.41,4.23,5.45,7.37,3.67
37.25,-6.25,2020,4,5,21.22,11.06,15.91,8.94,80.94,1.06,5.07,7.11,3.12
37.25,-5.75,2020,4,5,22.04,10.67,15.83,8.48,76.96,0.34,4.94,6.7,3.14
37.25,-5.25,2020,4,5,21.75,10.18,15.18,8.07,75.84,0.08,4.81,6.38,3.23
37.25,-4.75,2020,4,5,20.9,9.44,14.33,7.73,75.74,0.02,4.46,5.98,3.06
37.25,-4.25,2020,4,5,19.88,8.28,13.45,7.42,75.61,0.0,3.87,5.44,2.57
37.25,-3.75,2020,4,5,18.93,6.54,12.43,7.05,75.16,0.0,3.19,4.86,2.03
37.25,-3.25,2020,4,5,17.94,5.71,11.54,6.73,74.66,0.0,2.63,4.22,1.3
37.25,-2.75,2020,4,5,18.41,6.25,11.67,6.69,74.44,0.0,2.37,3.98,0.6
37.25,-2.25,2020,4,5,18.54,7.94,12.43,6.99,75.64,0.0,2.84,4.48,0.58
37.75,-6.75,2020,4,5,19.52,10.07,14.62,9.01,85.94,3.86,5.47,8.01,3.48
37.75,-6.25,2020,4,5,20.0,9.35,14.44,8.54,82.84,1.32,5.09,7.71,2.96
37.75,-5.75,2020,4,5,21.22,9.4,14.95,8.3,78.82,0.44,4.71,7.16,2.77
37.75,-5.25,2020,4,5,21.83,9.34,15.07,8.02,75.66,0.11,4.51,6.62,2.83
37.75,-4.75,2020,4,5,21.79,9.02,14.82,7.7,73.27,0.03,4.24,6.28,2.7
37.75,-4.25,2020,4,5,21.19,8.13,14.13,7.35,72.18,0.01,3.82,6.04,2.32
37.75,-3.75,2020,4,5,20.28,6.19,12.88,6.99,73.5,0.0,3.29,5.58,2.0
37.75,-3.25,2020,4,5,19.51,4.88,12.1,6.74,73.38,0.0,2.9,4.57,1.36
37.75,-2.75,2020,4,5,18.31,4.33,11.02,6.5,74.49,0.0,2.41,4.1,0.93
37.75,-2.25,2020,4,5,17.87,5.33,10.89,6.55,76.2,0.0,2.29,4.19,0.69
38.25,-6.75,2020,4,5,19.21,9.48,14.06,8.73,85.43,4.49,5.99,8.53,4.12
38.25,-6.25,2020,4,5,19.14,8.95,13.66,8.36,83.66,1.45,5.73,8.06,3.93
38.25,-5.75,2020,4,5,19.92,8.71,13.89,8.12,80.76,0.52,5.19,7.47,3.41
38.25,-5.25,2020,4,5,20.42,8.26,14.01,7.87,77.89,0.15,4.65,6.88,2.82
38.25,-4.75,2020,4,5,20.67,8.0,14.02,7.62,75.12,0.06,4.15,6.43,2.25
38.25,-4.25,2020,4,5,20.66,7.7,13.8,7.36,73.28,0.03,3.72,6.05,1.9
38.25,-3.75,2020,4,5,20.31,6.53,13.11,7.14,74.0,0.02,3.35,5.46,2.01
38.25,-3.25,2020,4,5,19.56,5.17,12.44,6.97,74.35,0.01,3.15,4.66,1.79
38.25,-2.75,2020,4,5,18.02,3.65,11.06,6.6,75.02,0.01,2.9,4.36,1.58
38.25,-2.25,2020,4,5,17.71,4.19,10.7,6.48,75.81,0.0,2.63,4.13,1.44
36.25,-6.75,2020,4,6,17.63,16.48,17.14,11.44,95.28,3.17,2.84,5.05,0.92
36.25,-6.25,2020,4,6,18.53,15.25,16.89,10.71,90.5,1.19,3.52,5.98,1.2
36.25,-5.75,2020,4,6,19.21,13.56,16.09,9.88,87.4,0.57,3.44,5.08,1.84
36.25,-5.25,2020,4,6,17.87,13.48,15.41,9.4,86.42,0.46,3.55,4.61,2.52
36.25,-4.75,2020,4,6,16.54,14.14,15.21,9.17,85.53,0.39,3.86,4.72,2.89
36.25,-4.25,2020,4,6,16.08,14.77,15.41,9.08,84.06,0.21,4.17,5.09,2.88
36.25,-3.75,2020,4,6,16.09,14.78,15.46,9.0,82.66,0.05,4.07,4.99,2.75
36.25,-3.25,2020,4,6,16.12,14.88,15.54,8.86,81.11,0.03,3.86,4.59,2.47
36.25,-2.75,2020,4,6,16.09,14.98,15.51,8.76,80.57,0.05,3.87,5.11,2.53
36.25,-2.25,2020,4,6,16.05,15.18,15.56,8.72,80.16,0.06,4.04,5.69,2.79
36.75,-6.75,2020,4,6,18.14,15.84,16.86,11.07,93.93,5.21,3.48,5.1,1.76
36.75,-6.25,2020,4,6,20.06,14.38,16.84,10.28,87.41,1.88,4.19,5.56,2.17
36.75,-5.75,2020,4,6,20.21,12.34,15.79,9.41,84.51,0.97,3.76,5.03,2.12
36.75,-5.25,2020,4,6,18.8,11.42,14.65,8.76,83.67,0.57,3.29,4.44,2.0
36.75,-4.75,2020,4,6,17.4,11.33,14.07,8.4,82.82,0.35,2.93,4.03,1.79
36.75,-4.25,2020,4,6,16.64,11.58,14.07,8.24,81.14,0.17,2.64,3.79,1.46
36.75,-3.75,2020,4,6,16.26,11.42,14.0,8.12,79.06,0.05,2.25,3.5,1.05
36.75,-3.25,2020,4,6,16.16,11.14,13.63,7.9,78.01,0.02,2.08,3.59,0.77
36.75,-2.75,2020,4,6,16.85,11.48,13.87,7.86,77.58,0.01,2.28,3.95,0.98
36.75,-2.25,2020,4,6,17.27,12.51,14.5,7.95,76.84,0.0,2.74,4.31,1.57
37.25,-6.75,2020,4,6,19.66,14.04,16.52,10.41,89.79,5.46,3.61,5.19,2.12
37.25,-6.25,2020,4,6,20.69,13.36,16.4,9.92,86.22,3.21,4.02,5.49,2.26
37.25,-5.75,2020,4,6,20.7,12.31,15.93,9.36,83.39,1.89,3.7,5.11,2.13
37.25,-5.25,2020,4,6,19.97,11.28,15.07,8.8,81.92,1.01,3.4,4.54,1.99
37.25,-4.75,2020,4,6,18.87,10.34,14.21,8.32,80.91,0.47,3.0,4.06,1.77
37.25,-4.25,2020,4,6,17.66,9.36,13.42,7.94,80.0,0.17,2.5,3.81,1.37
37.25,-3.75,2020,4,6,16.57,8.07,12.44,7.6,79.38,0.03,1.99,3.74,0.68
37.25,-3.25,2020,4,6,16.73,7.4,11.77,7.28,78.1,0.01,1.65,3.79,0.26
37.25,-2.75,2020,4,6,17.76,7.59,12.08,7.26,77.52,0.0,1.61,3.24,0.34
37.25,-2.25,2020,4,6,18.5,8.79,12.96,7.38,76.63,0.0,1.9,3.21,0.63
37.75,-6.75,2020,4,6,20.01,11.96,15.65,9.59,86.19,6.55,3.43,5.4,2.02
37.75,-6.25,2020,4,6,19.6,11.82,15.15,9.4,86.44,5.87,3.68,5.64,2.12
