-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 04/05/1981 through 04/05/1982 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,WS10M,WS10M_MAX,WS10M_MIN
36.25,-6.75,1981,4,5,17.23,15.32,16.31,9.3,81.37,0.04,6.63,9.76,2.57
36.25,-6.25,1981,4,5,17.74,14.29,15.94,8.79,78.97,0.01,7.26,10.21,3.57
36.25,-5.75,1981,4,5,17.76,12.76,15.12,8.28,78.32,0.02,6.72,9.78,3.3
36.25,-5.25,1981,4,5,17.02,12.98,14.97,8.42,79.81,0.02,6.42,9.15,3.15
36.25,-4.75,1981,4,5,16.57,13.88,15.26,8.75,81.17,0.03,6.47,8.76,3.19
36.25,-4.25,1981,4,5,16.68,14.69,15.7,8.95,81.06,0.04,6.72,8.69,3.29
36.25,-3.75,1981,4,5,16.76,14.85,15.87,8.85,79.03,0.03,6.79,8.63,3.07
36.25,-3.25,1981,4,5,16.84,14.95,15.96,8.75,77.63,0.01,7.35,8.57,4.86
36.25,-2.75,1981,4,5,16.88,15.02,15.96,8.87,78.91,0.0,7.76,9.1,5.24
36.25,-2.25,1981,4,5,16.75,15.2,15.98,9.09,81.04,0.0,7.82,9.69,4.99
36.75,-6.75,1981,4,5,17.83,14.02,15.94,8.51,76.71,0.02,5.38,8.33,2.55
36.75,-6.25,1981,4,5,19.04,11.99,15.37,7.66,72.41,0.01,5.15,8.5,2.61
36.75,-5.75,1981,4,5,18.8,10.21,14.21,7.07,71.93,0.0,5.12,8.71,2.38
36.75,-5.25,1981,4,5,18.01,9.69,13.64,7.17,74.14,0.0,4.9,8.34,2.03
36.75,-4.75,1981,4,5,17.62,10.04,13.76,7.42,75.19,0.01,4.61,7.71,1.58
36.75,-4.25,1981,4,5,17.77,10.64,14.27,7.47,73.13,0.01,4.39,7.12,1.14
36.75,-3.75,1981,4,5,17.76,10.7,14.46,7.08,67.91,0.01,4.39,6.81,0.89
36.75,-3.25,1981,4,5,17.45,10.52,14.08,6.76,65.06,0.0,4.85,6.52,2.41
36.75,-2.75,1981,4,5,17.65,11.11,14.11,7.05,68.36,0.0,5.18,6.9,2.78
36.75,-2.25,1981,4,5,17.84,12.34,14.75,7.65,72.58,0.0,5.26,7.3,2.82
37.25,-6.75,1981,4,5,18.68,11.28,14.92,7.48,71.94,0.0,3.91,6.61,1.83
37.25,-6.25,1981,4,5,19.66,9.65,14.73,6.87,67.94,0.0,3.5,6.3,1.36
37.25,-5.75,1981,4,5,19.72,8.97,14.34,6.6,67.29,0.0,3.56,6.5,1.23
37.25,-5.25,1981,4,5,19.59,8.19,13.85,6.55,68.29,0.0,3.44,6.35,0.97
37.25,-4.75,1981,4,5,19.59,7.63,13.58,6.43,67.47,0.0,3.15,5.81,0.66
37.25,-4.25,1981,4,5,19.63,7.13,13.43,6.08,63.78,0.0,2.8,5.07,0.34
37.25,-3.75,1981,4,5,19.21,6.08,12.83,5.49,58.5,0.0,2.55,4.62,0.11
37.25,-3.25,1981,4,5,18.88,5.44,12.21,5.13,55.62,0.0,2.63,4.41,0.74
37.25,-2.75,1981,4,5,18.73,6.4,11.94,5.4,60.1,0.0,2.9,4.94,0.93
37.25,-2.25,1981,4,5,19.03,8.31,12.88,6.02,64.1,0.0,3.07,5.23,1.06
37.75,-6.75,1981,4,5,18.59,8.93,13.7,6.59,68.09,0.0,3.41,5.84,1.48
37.75,-6.25,1981,4,5,18.62,8.08,13.66,6.35,65.59,0.0,3.08,5.45,0.75
37.75,-5.75,1981,4,5,19.29,7.79,13.96,6.3,64.69,0.0,2.85,4.98,0.87
37.75,-5.25,1981,4,5,19.85,7.36,13.96,6.21,64.15,0.0,2.66,4.42,0.92
37.75,-4.75,1981,4,5,20.35,6.92,13.84,5.97,62.12,0.0,2.41,3.77,0.83
37.75,-4.25,1981,4,5,20.64,6.33,13.58,5.58,58.72,0.0,2.12,3.22,0.6
37.75,-3.75,1981,4,5,20.43,5.19,12.91,5.22,56.0,0.0,1.91,3.17,0.29
37.75,-3.25,1981,4,5,20.74,4.35,12.85,4.93,52.85,0.0,1.94,3.62,0.52
37.75,-2.75,1981,4,5,19.36,4.24,11.48,4.91,56.98,0.0,2.3,4.1,0.85
37.75,-2.25,1981,4,5,19.03,5.44,11.58,5.19,59.96,0.0,2.54,4.46,0.85
38.25,-6.75,1981,4,5,18.54,8.43,13.57,6.33,65.7,0.0,3.19,5.1,1.37
38.25,-6.25,1981,4,5,18.17,7.49,13.2,6.01,63.25,0.0,3.07,5.1,0.5
38.25,-5.75,1981,4,5,18.63,6.84,13.14,5.91,62.45,0.0,2.91,4.61,0.87
38.25,-5.25,1981,4,5,19.29,6.34,13.07,5.76,61.58,0.0,2.79,4.0,1.29
38.25,-4.75,1981,4,5,19.86,5.86,13.01,5.55,60.04,0.0,2.59,3.55,1.2
38.25,-4.25,1981,4,5,20.23,5.4,12.95,5.35,58.16,0.0,2.34,3.3,0.67
38.25,-3.75,1981,4,5,20.38,5.13,12.85,5.25,57.16,0.0,2.18,3.07,0.41
38.25,-3.25,1981,4,5,20.86,4.85,13.35,4.98,52.53,0.0,2.05,3.52,0.42
38.25,-2.75,1981,4,5,19.65,4.46,12.06,4.8,53.94,0.0,2.32,3.62,0.88
38.25,-2.25,1981,4,5,19.34,5.11,11.84,4.93,56.06,0.0,2.62,4.11,0.95
36.25,-6.75,1981,4,6,16.83,15.5,16.25,9.01,79.2,0.05,2.86,4.53,1.1
36.25,-6.25,1981,4,6,17.75,14.3,16.01,8.94,80.25,0.06,2.9,4.2,1.55
36.25,-5.75,1981,4,6,19.27,12.29,15.66,8.53,77.2,0.08,2.13,3.49,0.89
36.25,-5.25,1981,4,6,18.54,12.78,15.59,8.37,76.14,0.08,1.93,3.49,0.78
36.25,-4.75,1981,4,6,17.39,14.02,15.7,8.36,75.7,0.08,1.99,3.75,0.81
36.25,-4.25,1981,4,6,16.73,14.95,15.85,8.38,75.13,0.1,2.1,4.01,0.75
36.25,-3.75,1981,4,6,16.53,15.14,15.87,8.33,74.28,0.15,2.17,4.19,0.49
36.25,-3.25,1981,4,6,16.63,15.13,15.97,8.38,74.13,0.17,2.83,5.41,0.77
36.25,-2.75,1981,4,6,16.65,15.28,15.99,8.39,74.43,0.11,3.67,6.97,1.1
36.25,-2.25,1981,4,6,16.45,15.46,15.95,8.61,76.93,0.04,4.38,8.04,1.29
36.75,-6.75,1981,4,6,17.67,14.15,15.96,8.83,79.36,0.03,2.89,5.04,1.31
36.75,-6.25,1981,4,6,19.66,11.53,15.54,8.24,77.31,0.04,3.09,5.07,1.73
36.75,-5.75,1981,4,6,20.69,9.31,14.8,7.63,73.86,0.06,2.78,4.48,1.3
36.75,-5.25,1981,4,6,19.92,9.42,14.47,7.44,73.09,0.06,2.42,4.24,0.86
