-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 04/05/1994 through 04/05/1995 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,WS10M,WS10M_MAX,WS10M_MIN
36.25,-6.75,1994,4,5,18.79,13.89,16.33,8.39,74.99,0.0,7.47,8.84,5.15
36.25,-6.25,1994,4,5,20.14,13.45,16.56,8.0,71.59,0.0,6.56,7.93,5.01
36.25,-5.75,1994,4,5,22.52,11.82,16.61,7.17,65.37,0.0,5.17,6.67,3.75
36.25,-5.25,1994,4,5,22.24,12.55,16.8,7.23,64.41,0.0,5.27,6.42,4.09
36.25,-4.75,1994,4,5,21.1,13.87,17.02,7.7,66.34,0.0,6.07,7.15,4.79
36.25,-4.25,1994,4,5,20.17,14.81,17.19,8.16,68.82,0.0,6.84,8.2,5.2
36.25,-3.75,1994,4,5,19.86,15.13,17.23,8.33,69.62,0.0,6.87,8.23,5.27
36.25,-3.25,1994,4,5,19.8,15.76,17.45,8.45,69.5,0.0,5.86,7.86,3.22
36.25,-2.75,1994,4,5,19.35,15.89,17.36,8.96,73.95,0.0,5.14,7.18,2.75
36.25,-2.25,1994,4,5,18.54,15.97,17.03,9.59,80.79,0.0,4.49,6.53,2.02
36.75,-6.75,1994,4,5,20.4,12.0,16.2,7.57,69.8,0.0,7.09,8.39,4.8
36.75,-6.25,1994,4,5,23.53,10.85,16.65,6.71,63.12,0.0,5.95,7.64,4.32
36.75,-5.75,1994,4,5,24.79,9.38,16.14,5.96,58.88,0.0,5.24,7.43,3.44
36.75,-5.25,1994,4,5,24.03,9.68,15.84,5.93,58.45,0.0,5.52,7.44,4.11
36.75,-4.75,1994,4,5,22.8,10.61,15.85,6.25,59.64,0.0,5.96,7.56,4.64
36.75,-4.25,1994,4,5,21.83,11.34,15.99,6.54,60.41,0.0,6.02,7.61,4.32
36.75,-3.75,1994,4,5,20.99,11.35,15.79,6.47,58.94,0.0,5.41,7.34,3.43
36.75,-3.25,1994,4,5,20.43,11.45,15.56,6.4,57.71,0.0,4.5,6.55,2.5
36.75,-2.75,1994,4,5,20.69,12.02,16.04,6.85,60.31,0.0,3.97,6.02,1.84
36.75,-2.25,1994,4,5,20.93,13.32,16.7,7.75,66.53,0.0,3.79,6.1,1.09
37.25,-6.75,1994,4,5,22.51,9.19,15.6,6.29,62.86,0.0,6.83,8.44,4.96
37.25,-6.25,1994,4,5,24.77,8.82,16.07,5.71,57.78,0.0,6.01,7.95,4.27
37.25,-5.75,1994,4,5,24.97,8.29,15.7,5.56,57.56,0.0,5.31,7.55,3.43
37.25,-5.25,1994,4,5,24.56,8.15,15.3,5.51,57.67,0.0,5.12,7.46,3.3
37.25,-4.75,1994,4,5,23.79,8.18,14.9,5.49,57.84,0.0,5.08,7.34,3.37
37.25,-4.25,1994,4,5,22.65,8.05,14.32,5.41,57.64,0.0,4.94,7.08,3.24
37.25,-3.75,1994,4,5,20.9,7.3,13.15,5.1,56.44,0.0,4.59,6.92,2.57
37.25,-3.25,1994,4,5,19.81,6.24,12.11,4.88,55.89,0.0,4.51,6.72,2.6
37.25,-2.75,1994,4,5,20.48,6.6,12.81,4.99,55.21,0.0,4.51,6.64,2.63
37.25,-2.25,1994,4,5,22.09,8.64,14.75,5.63,55.83,0.0,4.35,6.67,1.92
37.75,-6.75,1994,4,5,21.9,6.97,13.96,5.5,61.44,0.0,7.15,9.24,5.16
37.75,-6.25,1994,4,5,22.44,7.26,14.21,5.28,58.31,0.0,7.07,8.78,5.14
37.75,-5.75,1994,4,5,23.28,7.53,14.65,5.3,57.54,0.0,6.38,8.04,4.79
37.75,-5.25,1994,4,5,23.75,7.78,14.86,5.33,57.23,0.0,5.64,7.41,4.19
37.75,-4.75,1994,4,5,23.67,7.85,14.71,5.32,57.23,0.0,4.86,6.78,3.4
