-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 04/05/1992 through 04/05/1993 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,WS10M,WS10M_MAX,WS10M_MIN
36.25,-6.75,1992,4,5,16.65,13.62,15.07,8.5,80.42,1.16,6.39,8.06,4.07
36.25,-6.25,1992,4,5,16.73,12.64,14.62,8.21,80.0,0.88,5.4,6.65,3.83
36.25,-5.75,1992,4,5,17.42,10.76,13.79,7.72,79.32,0.9,4.38,5.74,3.28
36.25,-5.25,1992,4,5,17.22,10.74,13.75,7.62,77.99,0.92,4.48,6.01,3.41
36.25,-4.75,1992,4,5,16.83,11.68,14.12,7.69,76.51,1.01,5.09,6.64,3.97
36.25,-4.25,1992,4,5,16.56,12.65,14.48,7.75,75.18,1.21,5.79,7.11,4.67
36.25,-3.75,1992,4,5,16.32,12.76,14.42,7.63,74.16,1.56,6.32,7.19,5.26
36.25,-3.25,1992,4,5,16.1,12.83,14.48,7.6,73.36,1.39,6.41,7.64,5.28
36.25,-2.75,1992,4,5,15.99,13.1,14.64,7.75,74.21,1.16,6.22,7.68,4.64
36.25,-2.25,1992,4,5,15.83,13.52,14.77,8.04,76.71,0.99,6.09,7.97,3.9
36.75,-6.75,1992,4,5,17.47,11.82,14.5,7.84,77.51,0.34,5.67,7.18,3.48
36.75,-6.25,1992,4,5,18.51,9.57,13.83,7.32,76.28,0.39,4.52,5.74,3.36
36.75,-5.75,1992,4,5,18.16,7.64,12.39,6.79,76.81,0.42,3.8,5.74,2.44
36.75,-5.25,1992,4,5,17.32,7.05,11.67,6.49,75.91,0.43,3.91,6.15,2.41
36.75,-4.75,1992,4,5,16.6,7.41,11.54,6.39,74.52,0.51,4.29,6.61,2.76
36.75,-4.25,1992,4,5,16.1,8.11,11.62,6.37,73.01,0.66,4.65,6.88,3.12
36.75,-3.75,1992,4,5,15.46,8.3,11.35,6.2,71.19,0.82,4.96,6.78,3.27
36.75,-3.25,1992,4,5,14.16,7.97,10.8,5.98,69.79,0.7,4.79,6.53,3.32
36.75,-2.75,1992,4,5,14.55,8.39,11.5,6.14,69.29,0.47,4.33,6.15,2.98
36.75,-2.25,1992,4,5,15.58,9.92,12.97,6.64,69.6,0.29,4.06,6.23,2.48
37.25,-6.75,1992,4,5,19.07,8.95,13.49,6.67,71.71,0.11,5.19,6.87,3.24
37.25,-6.25,1992,4,5,19.65,7.03,12.82,6.35,71.91,0.25,4.41,6.16,2.96
37.25,-5.75,1992,4,5,18.94,6.43,11.98,6.23,73.46,0.37,3.84,6.0,2.16
37.25,-5.25,1992,4,5,18.0,5.87,11.15,5.98,73.38,0.43,3.7,6.33,1.69
